[[1, 5, 9, 13], [2, 6, 10, 14], [3, 0, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [0, 3, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 0, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 0, 10, 14], [3, 6, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 8, 7, 11], [4, 0, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 0, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [0, 6, 10, 14], [2, 3, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [4, 3, 7, 11], [0, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 0, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 0], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 0, 14], [3, 7, 10, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 12, 11], [4, 8, 0, 15]]
[[1, 5, 9, 13], [0, 2, 10, 14], [3, 6, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 10, 0, 14], [3, 6, 7, 11], [4, 8, 12, 15]]
[[1, 0, 9, 13], [2, 5, 10, 14], [3, 6, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 0, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 8, 7, 11], [0, 4, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 8, 7, 11], [4, 12, 0, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 0, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [6, 0, 10, 14], [2, 3, 7, 11], [4, 8, 12, 15]]
[[0, 5, 9, 13], [1, 6, 10, 14], [2, 3, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [0, 3, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [4, 3, 7, 11], [8, 0, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [0, 3, 7, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 0, 11], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 0], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15], [4, 8, 12, 0]]
