[[0, 1, 9, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 0, 9, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [0, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[0, 1, 9, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 0, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 0, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [5, 0, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[0, 1, 9, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [3, 5, 6, 10], [0, 7, 11, 14], [4, 8, 12, 15]]
[[1, 0, 9, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 13, 0], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 6, 13], [2, 5, 0, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [0, 2, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 0, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 0, 9, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 7, 6, 10], [3, 0, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [0, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [5, 6, 0, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[2, 0, 9, 13], [5, 1, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [5, 7, 6, 10], [3, 0, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [3, 5, 6, 10], [7, 0, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [0, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[2, 1, 9, 13], [3, 5, 6, 10], [4, 7, 11, 14], [0, 8, 12, 15]]
[[1, 9, 0, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 13, 10], [2, 5, 6, 0], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 6, 13], [2, 0, 5, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 6, 13], [2, 5, 10, 0], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 0, 13], [2, 5, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 9, 6, 13], [2, 5, 11, 10], [3, 7, 0, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 0, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[0, 5, 9, 13], [1, 2, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [3, 2, 6, 10], [0, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 0, 6, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 9, 13], [2, 6, 10, 0], [3, 7, 11, 14], [4, 8, 12, 15]]
[[1, 5, 0, 13], [2, 6, 9, 10], [3, 7, 11, 14], [4, 8, 12, 15]]
