[[1, 5, 9, 13], [0, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 0, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[0, 5, 9, 13], [1, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [0, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [0, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 0, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 0, 9, 13], [2, 5, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 0, 10, 15], [4, 8, 11, 12]]
[[5, 0, 9, 13], [1, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [0, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 0, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [0, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [4, 7, 10, 15], [0, 8, 11, 12]]
[[1, 5, 9, 13], [2, 0, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 14, 0], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 0, 13], [2, 6, 9, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 0, 15], [4, 8, 11, 12]]
[[0, 1, 9, 13], [2, 5, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 9, 0, 13], [2, 5, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 0, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [0, 3, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 10, 0, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 0, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 8, 10, 15], [4, 0, 11, 12]]
[[0, 5, 9, 13], [1, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 9, 0, 13], [1, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 2, 9, 13], [1, 0, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [0, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 10, 0, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 0, 6, 14], [7, 2, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 8, 10, 15], [4, 0, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [4, 7, 10, 15], [8, 0, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [0, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 0, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 0], [2, 6, 14, 13], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 14, 15], [3, 7, 10, 0], [4, 8, 11, 12]]
[[1, 0, 5, 13], [2, 6, 9, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 13, 0], [2, 6, 9, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 0, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 0, 7, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 15, 0], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 0, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15], [4, 8, 0, 12]]
[[1, 0, 9, 13], [2, 5, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[2, 1, 9, 13], [0, 5, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 0, 9, 13], [2, 5, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 9, 13, 0], [2, 5, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 9, 6, 13], [2, 5, 0, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 0, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [0, 7, 6, 14], [2, 3, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [4, 3, 10, 15], [0, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 0, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 10, 15, 0], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 0, 14], [3, 10, 6, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 10, 11, 15], [4, 8, 0, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 8, 10, 15], [0, 4, 11, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 8, 10, 15], [4, 11, 0, 12]]
[[1, 5, 9, 13], [2, 7, 6, 14], [3, 0, 10, 15], [4, 8, 11, 12]]
[[5, 0, 9, 13], [1, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 9, 13, 0], [1, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 9, 6, 13], [1, 2, 0, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 2, 9, 13], [0, 1, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 2, 9, 13], [1, 6, 0, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 0, 9, 13], [1, 2, 6, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[5, 2, 9, 13], [1, 7, 6, 14], [3, 0, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 0, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 10, 15, 0], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 0, 14], [7, 10, 6, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 10, 11, 15], [4, 8, 0, 12]]
[[1, 5, 9, 13], [0, 3, 6, 14], [7, 2, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 6, 0, 14], [7, 2, 10, 15], [4, 8, 11, 12]]
[[1, 0, 9, 13], [3, 5, 6, 14], [7, 2, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 0, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 8, 10, 15], [0, 4, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 8, 10, 15], [4, 11, 0, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [7, 0, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [4, 7, 10, 15], [0, 8, 11, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [4, 7, 10, 15], [8, 11, 0, 12]]
[[1, 5, 9, 13], [3, 2, 6, 14], [4, 0, 10, 15], [8, 7, 11, 12]]
[[1, 5, 0, 9], [2, 6, 14, 13], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 14, 0], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 14, 15], [3, 7, 0, 10], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 14, 0], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 14, 15], [3, 7, 10, 12], [4, 8, 11, 0]]
[[0, 1, 5, 13], [2, 6, 9, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 0, 13], [2, 6, 9, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 6, 5, 13], [2, 0, 9, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 0, 13], [2, 6, 9, 14], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 13, 14], [2, 6, 9, 0], [3, 7, 10, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [0, 3, 7, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 0, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 0, 10, 14], [3, 6, 7, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 8, 7, 15], [4, 0, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 0, 15], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 0], [3, 7, 15, 14], [4, 8, 11, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 15, 12], [4, 8, 11, 0]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15], [4, 0, 8, 12]]
[[1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15], [4, 8, 12, 0]]
